Title,Auther,Product_URL,Book_type,Original_Price,Discounted_Price,ISBN_10,Published_Date,Publisher,No_of_pages
Walk Into Silence,Susan McBride,https://www.booktopia.com.au/book/9781365501210.html,ePUB,5.75,5.75,1365501213,01-11-2016,,0
"The Dragon's Mountain, Book One",Mark Mulle,https://www.booktopia.com.au/book/9781310869686.html,ePUB,,,1310869685,19-05-2015,Mark Mulle,
Click,Kayla Miller,https://www.booktopia.com.au/book/9781328527905.html,ePUB,18.69,14.95,1328527905,08-01-2019,HMH Books,
The Rainmaker,John Grisham,https://www.booktopia.com.au/book/9781407059198.html,ePUB,15.99,15.99,140705919X,21-04-2010,Random House,720
Conversations with Friends,Sally Rooney,https://www.booktopia.com.au/book/9780571333141.html,ePUB,16.49,14.99,571333141,25-05-2017,Faber & Faber,272
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,https://www.booktopia.com.au/book/9780007461240.html,Paperback,19.99,19.99,7461240,01-07-2012,HarperCollins Publishers,224
Time of Contempt,Andrzej Sapkowski,https://www.booktopia.com.au/book/9780575088436.html,ePUB,12.99,12.99,575088435,24-06-2013,Orion,320
Dork Diaries,Rachel Renee Russell,https://www.booktopia.com.au/book/9781471144011.html,Paperback,16.99,16.25,1471144011,02-06-2015,Simon & Schuster UK,304
The Wicked King,Holly Black,https://www.booktopia.com.au/book/9780316310338.html,ePUB,18.99,18.99,316310336,08-01-2019,"Little, Brown Books for Young Readers",336
The Name of the Wind,Patrick Rothfuss,https://www.booktopia.com.au/book/9780575087057.html,ePUB,12.99,12.99,575087056,22-04-2010,Orion,672
No One Left To Tell (The Baltimore Series Book 2),Karen Rose,https://www.booktopia.com.au/book/9780755373970.html,ePUB,11.99,11.99,755373979,05-01-2012,Headline,451
Angels,Marian Keyes,https://www.booktopia.com.au/book/9780141928685.html,ePUB,15.99,15.99,141928689,31-03-2005,Penguin Books Ltd,496
The Great Hunt,Robert Jordan,https://www.booktopia.com.au/book/9780748115358.html,ePUB,11.99,11.99,748115358,17-11-2009,"Little, Brown Book Group",736
Lord of Chaos,Robert Jordan,https://www.booktopia.com.au/book/9780748115396.html,ePUB,12.99,12.99,748115390,16-03-2010,"Little, Brown Book Group",1056
Typhoon Fury,Clive Cussler,https://www.booktopia.com.au/book/9781405927697.html,ePUB,15.99,15.99,1405927690,16-11-2017,Penguin Books Ltd,480
Infinity Gauntlet,Jim Starlin,https://www.booktopia.com.au/book/9780785170655.html,ePUB,16.12,12.99,785170650,28-05-2014,Marvel Entertainment,
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,https://www.booktopia.com.au/book/9780755350841.html,ePUB,12.99,12.99,755350847,04-09-2008,Headline,448
Surrender Experiment,Michael A Singer,https://www.booktopia.com.au/book/9780804141116.html,E-Book,,,804141118,01-01-2015,Potter/Tenspeed/Harmony,
The Queen and I,Sue Townsend,https://www.booktopia.com.au/book/9780141938332.html,ePUB,15.99,15.99,141938331,28-11-2002,Penguin Books Ltd,288
Thor,Jason Aaron,https://www.booktopia.com.au/book/9781302013769.html,ePUB,13.19,10.99,1302013769,02-04-2014,Marvel Entertainment,
The Night Stalker,Chris Carter,https://www.booktopia.com.au/book/9780857202994.html,ePUB,12.99,12.99,857202995,18-08-2011,Simon & Schuster UK,464
Misbehaving,Richard H. Thaler,https://www.booktopia.com.au/book/9780141966151.html,ePUB,16.99,16.99,141966157,07-05-2015,Penguin Books Ltd,256
Aftermath,Peter Robinson,https://www.booktopia.com.au/book/9780330469364.html,ePUB,12.35,8.95,330469363,04-09-2008,,0
Battle of Okinawa,George Feifer,https://www.booktopia.com.au/book/9781322117171.html,E-Book,,,1322117179,01-01-2001,Lyons Press,531
My East End,Gilda O'Neill,https://www.booktopia.com.au/book/9780141929385.html,ePUB,15.99,15.99,141929383,28-09-2000,Penguin Books Ltd,384
